Question,Answer,Preprocessed_Question
Is mass communication offered in the school,"Yes, we offer mass communication at neu.",mass communication offered school
What are the requirements to apply for mass communication,"To apply for mass communication, you need relevant o'level results and either utme or direct entry credentials.",requirements apply mass communication
How long does it take to complete mass communication,"The duration for mass communication is typically 4 to 5 years, depending on the program.",long take complete mass communication
Is mass communication accredited by nuc,"Yes, mass communication is fully accredited by the national universities commission.",mass communication accredited nuc
Does neu accept direct entry into mass communication,"Yes, you can apply for mass communication through direct entry depending on your qualifications.",neu accept direct entry mass communication
What is the tuition fee per session for architecture,"The tuition fee for architecture is â¦915,000.00 per session.",tuition fee per session architecture
What is the tuition fee per semester for architecture,"The tuition fee for architecture is â¦457,500.00 per semester.",tuition fee per semester architecture
Can i apply to study architecture at neu,"Yes, architecture is one of the accredited programs offered at north-eastern university, gombe.",apply study architecture neu
Is architecture offered in the school,"Yes, we offer architecture at neu.",architecture offered school
What are the requirements to apply for architecture,"To apply for architecture, you need relevant o'level results and either utme or direct entry credentials.",requirements apply architecture
How long does it take to complete architecture,"The duration for architecture is typically 4 to 5 years, depending on the program.",long take complete architecture
Is architecture accredited by nuc,"Yes, architecture is fully accredited by the national universities commission.",architecture accredited nuc
Does neu accept direct entry into architecture,"Yes, you can apply for architecture through direct entry depending on your qualifications.",neu accept direct entry architecture
What is the tuition fee per session for biotechnology,"The tuition fee for biotechnology is â¦915,000.00 per session.",tuition fee per session biotechnology
What is the tuition fee per semester for biotechnology,"The tuition fee for biotechnology is â¦457,500.00 per semester.",tuition fee per semester biotechnology
Can i apply to study biotechnology at neu,"Yes, biotechnology is one of the accredited programs offered at north-eastern university, gombe.",apply study biotechnology neu
Is biotechnology offered in the school,"Yes, we offer biotechnology at neu.",biotechnology offered school
What are the requirements to apply for biotechnology,"To apply for biotechnology, you need relevant o'level results and either utme or direct entry credentials.",requirements apply biotechnology
How long does it take to complete biotechnology,"The duration for biotechnology is typically 4 to 5 years, depending on the program.",long take complete biotechnology
Is biotechnology accredited by nuc,"Yes, biotechnology is fully accredited by the national universities commission.",biotechnology accredited nuc
Does neu accept direct entry into biotechnology,"Yes, you can apply for biotechnology through direct entry depending on your qualifications.",neu accept direct entry biotechnology
What is the tuition fee per session for microbiology,"The tuition fee for microbiology is â¦915,000.00 per session.",tuition fee per session microbiology
What is the tuition fee per semester for microbiology,"The tuition fee for microbiology is â¦457,500.00 per semester.",tuition fee per semester microbiology
Can i apply to study microbiology at neu,"Yes, microbiology is one of the accredited programs offered at north-eastern university, gombe.",apply study microbiology neu
Is microbiology offered in the school,"Yes, we offer microbiology at neu.",microbiology offered school
What are the requirements to apply for microbiology,"To apply for microbiology, you need relevant o'level results and either utme or direct entry credentials.",requirements apply microbiology
How long does it take to complete microbiology,"The duration for microbiology is typically 4 to 5 years, depending on the program.",long take complete microbiology
Is microbiology accredited by nuc,"Yes, microbiology is fully accredited by the national universities commission.",microbiology accredited nuc
Does neu accept direct entry into microbiology,"Yes, you can apply for microbiology through direct entry depending on your qualifications.",neu accept direct entry microbiology
What is the tuition fee per session for building,"The tuition fee for building is â¦915,000.00 per session.",tuition fee per session building
What is the tuition fee per semester for building,"The tuition fee for building is â¦457,500.00 per semester.",tuition fee per semester building
Can i apply to study building at neu,"Yes, building is one of the accredited programs offered at north-eastern university, gombe.",apply study building neu
Is building offered in the school,"Yes, we offer building at neu.",building offered school
What are the requirements to apply for building,"To apply for building, you need relevant o'level results and either utme or direct entry credentials.",requirements apply building
How long does it take to complete building,"The duration for building is typically 4 to 5 years, depending on the program.",long take complete building
Is building accredited by nuc,"Yes, building is fully accredited by the national universities commission.",building accredited nuc
Does neu accept direct entry into building,"Yes, you can apply for building through direct entry depending on your qualifications.",neu accept direct entry building
What is the tuition fee per session for quantity surveying,"The tuition fee for quantity surveying is â¦915,000.00 per session.",tuition fee per session quantity surveying
What is the tuition fee per semester for quantity surveying,"The tuition fee for quantity surveying is â¦457,500.00 per semester.",tuition fee per semester quantity surveying
Can i apply to study quantity surveying at neu,"Yes, quantity surveying is one of the accredited programs offered at north-eastern university, gombe.",apply study quantity surveying neu
Is quantity surveying offered in the school,"Yes, we offer quantity surveying at neu.",quantity surveying offered school
What are the requirements to apply for quantity surveying,"To apply for quantity surveying, you need relevant o'level results and either utme or direct entry credentials.",requirements apply quantity surveying
How long does it take to complete quantity surveying,"The duration for quantity surveying is typically 4 to 5 years, depending on the program.",long take complete quantity surveying
Is quantity surveying accredited by nuc,"Yes, quantity surveying is fully accredited by the national universities commission.",quantity surveying accredited nuc
Does neu accept direct entry into quantity surveying,"Yes, you can apply for quantity surveying through direct entry depending on your qualifications.",neu accept direct entry quantity surveying
What is the tuition fee per session for environmental management and toxicology,"The tuition fee for environmental management and toxicology is â¦915,000.00 per session.",tuition fee per session environmental management toxicology
What is the tuition fee per semester for environmental management and toxicology,"The tuition fee for environmental management and toxicology is â¦457,500.00 per semester.",tuition fee per semester environmental management toxicology
Can i apply to study environmental management and toxicology at neu,"Yes, environmental management and toxicology is one of the accredited programs offered at north-eastern university, gombe.",apply study environmental management toxicology neu
Is environmental management and toxicology offered in the school,"Yes, we offer environmental management and toxicology at neu.",environmental management toxicology offered school
What are the requirements to apply for environmental management and toxicology,"To apply for environmental management and toxicology, you need relevant o'level results and either utme or direct entry credentials.",requirements apply environmental management toxicology
How long does it take to complete environmental management and toxicology,"The duration for environmental management and toxicology is typically 4 to 5 years, depending on the program.",long take complete environmental management toxicology
Is environmental management and toxicology accredited by nuc,"Yes, environmental management and toxicology is fully accredited by the national universities commission.",environmental management toxicology accredited nuc
Does neu accept direct entry into environmental management and toxicology,"Yes, you can apply for environmental management and toxicology through direct entry depending on your qualifications.",neu accept direct entry environmental management toxicology
What is the tuition fee per session for industrial chemistry,"The tuition fee for industrial chemistry is â¦915,000.00 per session.",tuition fee per session industrial chemistry
What is the tuition fee per semester for industrial chemistry,"The tuition fee for industrial chemistry is â¦457,500.00 per semester.",tuition fee per semester industrial chemistry
Can i apply to study industrial chemistry at neu,"Yes, industrial chemistry is one of the accredited programs offered at north-eastern university, gombe.",apply study industrial chemistry neu
Is industrial chemistry offered in the school,"Yes, we offer industrial chemistry at neu.",industrial chemistry offered school
What are the requirements to apply for industrial chemistry,"To apply for industrial chemistry, you need relevant o'level results and either utme or direct entry credentials.",requirements apply industrial chemistry
How long does it take to complete industrial chemistry,"The duration for industrial chemistry is typically 4 to 5 years, depending on the program.",long take complete industrial chemistry
Is industrial chemistry accredited by nuc,"Yes, industrial chemistry is fully accredited by the national universities commission.",industrial chemistry accredited nuc
Does neu accept direct entry into industrial chemistry,"Yes, you can apply for industrial chemistry through direct entry depending on your qualifications.",neu accept direct entry industrial chemistry
What is the tuition fee per session for petroleum chemistry,"The tuition fee for petroleum chemistry is â¦915,000.00 per session.",tuition fee per session petroleum chemistry
What is the tuition fee per semester for petroleum chemistry,"The tuition fee for petroleum chemistry is â¦457,500.00 per semester.",tuition fee per semester petroleum chemistry
Can i apply to study petroleum chemistry at neu,"Yes, petroleum chemistry is one of the accredited programs offered at north-eastern university, gombe.",apply study petroleum chemistry neu
Is petroleum chemistry offered in the school,"Yes, we offer petroleum chemistry at neu.",petroleum chemistry offered school
What are the requirements to apply for petroleum chemistry,"To apply for petroleum chemistry, you need relevant o'level results and either utme or direct entry credentials.",requirements apply petroleum chemistry
How long does it take to complete petroleum chemistry,"The duration for petroleum chemistry is typically 4 to 5 years, depending on the program.",long take complete petroleum chemistry
Is petroleum chemistry accredited by nuc,"Yes, petroleum chemistry is fully accredited by the national universities commission.",petroleum chemistry accredited nuc
Does neu accept direct entry into petroleum chemistry,"Yes, you can apply for petroleum chemistry through direct entry depending on your qualifications.",neu accept direct entry petroleum chemistry
What is the tuition fee per session for computer science,"The tuition fee for computer science is â¦915,000.00 per session.",tuition fee per session computer science
What is the tuition fee per semester for computer science,"The tuition fee for computer science is â¦457,500.00 per semester.",tuition fee per semester computer science
Can i apply to study computer science at neu,"Yes, computer science is one of the accredited programs offered at north-eastern university, gombe.",apply study computer science neu
Is computer science offered in the school,"Yes, we offer computer science at neu.",computer science offered school
What are the requirements to apply for computer science,"To apply for computer science, you need relevant o'level results and either utme or direct entry credentials.",requirements apply computer science
How long does it take to complete computer science,"The duration for computer science is typically 4 to 5 years, depending on the program.",long take complete computer science
Is computer science accredited by nuc,"Yes, computer science is fully accredited by the national universities commission.",computer science accredited nuc
Does neu accept direct entry into computer science,"Yes, you can apply for computer science through direct entry depending on your qualifications.",neu accept direct entry computer science
What is the tuition fee per session for cyber security,"The tuition fee for cyber security is â¦915,000.00 per session.",tuition fee per session cyber security
What is the tuition fee per semester for cyber security,"The tuition fee for cyber security is â¦457,500.00 per semester.",tuition fee per semester cyber security
Can i apply to study cyber security at neu,"Yes, cyber security is one of the accredited programs offered at north-eastern university, gombe.",apply study cyber security neu
Is cyber security offered in the school,"Yes, we offer cyber security at neu.",cyber security offered school
What are the requirements to apply for cyber security,"To apply for cyber security, you need relevant o'level results and either utme or direct entry credentials.",requirements apply cyber security
How long does it take to complete cyber security,"The duration for cyber security is typically 4 to 5 years, depending on the program.",long take complete cyber security
Is cyber security accredited by nuc,"Yes, cyber security is fully accredited by the national universities commission.",cyber security accredited nuc
Does neu accept direct entry into cyber security,"Yes, you can apply for cyber security through direct entry depending on your qualifications.",neu accept direct entry cyber security
What is the tuition fee per session for data science,"The tuition fee for data science is â¦915,000.00 per session.",tuition fee per session data science
What is the tuition fee per semester for data science,"The tuition fee for data science is â¦457,500.00 per semester.",tuition fee per semester data science
Can i apply to study data science at neu,"Yes, data science is one of the accredited programs offered at north-eastern university, gombe.",apply study data science neu
Is data science offered in the school,"Yes, we offer data science at neu.",data science offered school
What are the requirements to apply for data science,"To apply for data science, you need relevant o'level results and either utme or direct entry credentials.",requirements apply data science
How long does it take to complete data science,"The duration for data science is typically 4 to 5 years, depending on the program.",long take complete data science
Is data science accredited by nuc,"Yes, data science is fully accredited by the national universities commission.",data science accredited nuc
Does neu accept direct entry into data science,"Yes, you can apply for data science through direct entry depending on your qualifications.",neu accept direct entry data science
What is the tuition fee per session for information technology,"The tuition fee for information technology is â¦915,000.00 per session.",tuition fee per session information technology
What is the tuition fee per semester for information technology,"The tuition fee for information technology is â¦457,500.00 per semester.",tuition fee per semester information technology
Can i apply to study information technology at neu,"Yes, information technology is one of the accredited programs offered at north-eastern university, gombe.",apply study information technology neu
Is information technology offered in the school,"Yes, we offer information technology at neu.",information technology offered school
What are the requirements to apply for information technology,"To apply for information technology, you need relevant o'level results and either utme or direct entry credentials.",requirements apply information technology
How long does it take to complete information technology,"The duration for information technology is typically 4 to 5 years, depending on the program.",long take complete information technology
Is information technology accredited by nuc,"Yes, information technology is fully accredited by the national universities commission.",information technology accredited nuc
Does neu accept direct entry into information technology,"Yes, you can apply for information technology through direct entry depending on your qualifications.",neu accept direct entry information technology
What is the tuition fee per session for software engineering,"The tuition fee for software engineering is â¦915,000.00 per session.",tuition fee per session software engineering
What is the tuition fee per semester for software engineering,"The tuition fee for software engineering is â¦457,500.00 per semester.",tuition fee per semester software engineering
Can i apply to study software engineering at neu,"Yes, software engineering is one of the accredited programs offered at north-eastern university, gombe.",apply study software engineering neu
Is software engineering offered in the school,"Yes, we offer software engineering at neu.",software engineering offered school
What are the requirements to apply for software engineering,"To apply for software engineering, you need relevant o'level results and either utme or direct entry credentials.",requirements apply software engineering
How long does it take to complete software engineering,"The duration for software engineering is typically 4 to 5 years, depending on the program.",long take complete software engineering
Is software engineering accredited by nuc,"Yes, software engineering is fully accredited by the national universities commission.",software engineering accredited nuc
Does neu accept direct entry into software engineering,"Yes, you can apply for software engineering through direct entry depending on your qualifications.",neu accept direct entry software engineering
What is the tuition fee per session for urban and regional planning,"The tuition fee for urban and regional planning is â¦915,000.00 per session.",tuition fee per session urban regional planning
What is the tuition fee per semester for urban and regional planning,"The tuition fee for urban and regional planning is â¦457,500.00 per semester.",tuition fee per semester urban regional planning
Can i apply to study urban and regional planning at neu,"Yes, urban and regional planning is one of the accredited programs offered at north-eastern university, gombe.",apply study urban regional planning neu
Is urban and regional planning offered in the school,"Yes, we offer urban and regional planning at neu.",urban regional planning offered school
What are the requirements to apply for urban and regional planning,"To apply for urban and regional planning, you need relevant o'level results and either utme or direct entry credentials.",requirements apply urban regional planning
How long does it take to complete urban and regional planning,"The duration for urban and regional planning is typically 4 to 5 years, depending on the program.",long take complete urban regional planning
Is urban and regional planning accredited by nuc,"Yes, urban and regional planning is fully accredited by the national universities commission.",urban regional planning accredited nuc
Does neu accept direct entry into urban and regional planning,"Yes, you can apply for urban and regional planning through direct entry depending on your qualifications.",neu accept direct entry urban regional planning
What is the tuition fee per session for common and islamic law,"The tuition fee for common and islamic law is â¦1,090,000.00 per session.",tuition fee per session common islamic law
What is the tuition fee per semester for common and islamic law,"The tuition fee for common and islamic law is â¦545,000.00 per semester.",tuition fee per semester common islamic law
Can i apply to study common and islamic law at neu,"Yes, common and islamic law is one of the accredited programs offered at north-eastern university, gombe.",apply study common islamic law neu
Is common and islamic law offered in the school,"Yes, we offer common and islamic law at neu.",common islamic law offered school
What are the requirements to apply for common and islamic law,"To apply for common and islamic law, you need relevant o'level results and either utme or direct entry credentials.",requirements apply common islamic law
How long does it take to complete common and islamic law,"The duration for common and islamic law is typically 4 to 5 years, depending on the program.",long take complete common islamic law
Is common and islamic law accredited by nuc,"Yes, common and islamic law is fully accredited by the national universities commission.",common islamic law accredited nuc
Does neu accept direct entry into common and islamic law,"Yes, you can apply for common and islamic law through direct entry depending on your qualifications.",neu accept direct entry common islamic law
What is the tuition fee per session for common law,"The tuition fee for common law is â¦1,090,000.00 per session.",tuition fee per session common law
What is the tuition fee per semester for common law,"The tuition fee for common law is â¦545,000.00 per semester.",tuition fee per semester common law
Can i apply to study common law at neu,"Yes, common law is one of the accredited programs offered at north-eastern university, gombe.",apply study common law neu
Is common law offered in the school,"Yes, we offer common law at neu.",common law offered school
What are the requirements to apply for common law,"To apply for common law, you need relevant o'level results and either utme or direct entry credentials.",requirements apply common law
How long does it take to complete common law,"The duration for common law is typically 4 to 5 years, depending on the program.",long take complete common law
Is common law accredited by nuc,"Yes, common law is fully accredited by the national universities commission.",common law accredited nuc
Does neu accept direct entry into common law,"Yes, you can apply for common law through direct entry depending on your qualifications.",neu accept direct entry common law
How do i apply for admission at neu,"You can apply through our online portal at www.pru.edu.ng or visit our campus along bauchi road, lafiyawo, gombe.",apply admission neu
Is admission still open for this year,"Yes, admission for the 2024/2025 academic session is currently open.",admission still open year
Can i transfer into 200 or 300 level,"Yes, transfer into 200 or 300 level is possible depending on your transcripts and the faculty.",transfer 200 300 level
Do you offer accommodation,"Yes, hostel facilities are available for students. accommodation fees vary depending on the room type.",offer accommodation
What is the total cost including school fees and hostel,"The total cost varies by program and room type, but starts around â¦1,200,000 per session including accommodation.",total cost including school fees hostel
What are the documents required for admission,"Youâll need your o'level results, jamb or direct entry slip, birth certificate, and a recent passport photo.",documents required admission
How can i reach out for help,"You can contact us at admissions@neu.edu.ng or call 07061482777, 09110935240, or 08036902809.",reach help
Where is the university located,"North-eastern university is located along bauchi road, lafiyawo, gombe, gombe state.",university located
