Question,Answer
How long does it take to complete International Relations?,"The duration for International Relations is typically 4 to 5 years, depending on the program."
Is International Relations accredited by NUC?,"Yes, International Relations is fully accredited by the National Universities Commission."
Does NEU accept direct entry into International Relations?,"Yes, you can apply for International Relations through Direct Entry depending on your qualifications."
What is the tuition fee per session for Political Science?,"The tuition fee for Political Science is ₦915,000.00 per session."
What is the tuition fee per semester for Political Science?,"The tuition fee for Political Science is ₦457,500.00 per semester."
Can I apply to study Political Science at NEU?,"Yes, Political Science is one of the accredited programs offered at North-Eastern University, Gombe."
Is Political Science offered in the school?,"Yes, we offer Political Science at NEU."
What are the requirements to apply for Political Science?,"To apply for Political Science, you need relevant O'level results and either UTME or Direct Entry credentials."
How long does it take to complete Political Science?,"The duration for Political Science is typically 4 to 5 years, depending on the program."
Is Political Science accredited by NUC?,"Yes, Political Science is fully accredited by the National Universities Commission."
Does NEU accept direct entry into Political Science?,"Yes, you can apply for Political Science through Direct Entry depending on your qualifications."
What is the tuition fee per session for Public Administration?,"The tuition fee for Public Administration is ₦915,000.00 per session."
What is the tuition fee per semester for Public Administration?,"The tuition fee for Public Administration is ₦457,500.00 per semester."
Can I apply to study Public Administration at NEU?,"Yes, Public Administration is one of the accredited programs offered at North-Eastern University, Gombe."
Is Public Administration offered in the school?,"Yes, we offer Public Administration at NEU."
What are the requirements to apply for Public Administration?,"To apply for Public Administration, you need relevant O'level results and either UTME or Direct Entry credentials."
How long does it take to complete Public Administration?,"The duration for Public Administration is typically 4 to 5 years, depending on the program."
Is Public Administration accredited by NUC?,"Yes, Public Administration is fully accredited by the National Universities Commission."
Does NEU accept direct entry into Public Administration?,"Yes, you can apply for Public Administration through Direct Entry depending on your qualifications."
What is the tuition fee per session for Mass Communication?,"The tuition fee for Mass Communication is ₦915,000.00 per session."
What is the tuition fee per semester for Mass Communication?,"The tuition fee for Mass Communication is ₦457,500.00 per semester."
Can I apply to study Mass Communication at NEU?,"Yes, Mass Communication is one of the accredited programs offered at North-Eastern University, Gombe."
Is Mass Communication offered in the school?,"Yes, we offer Mass Communication at NEU."
What are the requirements to apply for Mass Communication?,"To apply for Mass Communication, you need relevant O'level results and either UTME or Direct Entry credentials."
How long does it take to complete Mass Communication?,"The duration for Mass Communication is typically 4 to 5 years, depending on the program."
Is Mass Communication accredited by NUC?,"Yes, Mass Communication is fully accredited by the National Universities Commission."
Does NEU accept direct entry into Mass Communication?,"Yes, you can apply for Mass Communication through Direct Entry depending on your qualifications."
What is the tuition fee per session for Architecture?,"The tuition fee for Architecture is ₦915,000.00 per session."
What is the tuition fee per semester for Architecture?,"The tuition fee for Architecture is ₦457,500.00 per semester."
Can I apply to study Architecture at NEU?,"Yes, Architecture is one of the accredited programs offered at North-Eastern University, Gombe."
Is Architecture offered in the school?,"Yes, we offer Architecture at NEU."
What are the requirements to apply for Architecture?,"To apply for Architecture, you need relevant O'level results and either UTME or Direct Entry credentials."
How long does it take to complete Architecture?,"The duration for Architecture is typically 4 to 5 years, depending on the program."
Is Architecture accredited by NUC?,"Yes, Architecture is fully accredited by the National Universities Commission."
Does NEU accept direct entry into Architecture?,"Yes, you can apply for Architecture through Direct Entry depending on your qualifications."
What is the tuition fee per session for Biotechnology?,"The tuition fee for Biotechnology is ₦915,000.00 per session."
What is the tuition fee per semester for Biotechnology?,"The tuition fee for Biotechnology is ₦457,500.00 per semester."
Can I apply to study Biotechnology at NEU?,"Yes, Biotechnology is one of the accredited programs offered at North-Eastern University, Gombe."
Is Biotechnology offered in the school?,"Yes, we offer Biotechnology at NEU."
What are the requirements to apply for Biotechnology?,"To apply for Biotechnology, you need relevant O'level results and either UTME or Direct Entry credentials."
How long does it take to complete Biotechnology?,"The duration for Biotechnology is typically 4 to 5 years, depending on the program."
Is Biotechnology accredited by NUC?,"Yes, Biotechnology is fully accredited by the National Universities Commission."
Does NEU accept direct entry into Biotechnology?,"Yes, you can apply for Biotechnology through Direct Entry depending on your qualifications."
What is the tuition fee per session for Microbiology?,"The tuition fee for Microbiology is ₦915,000.00 per session."
What is the tuition fee per semester for Microbiology?,"The tuition fee for Microbiology is ₦457,500.00 per semester."
Can I apply to study Microbiology at NEU?,"Yes, Microbiology is one of the accredited programs offered at North-Eastern University, Gombe."
Is Microbiology offered in the school?,"Yes, we offer Microbiology at NEU."
What are the requirements to apply for Microbiology?,"To apply for Microbiology, you need relevant O'level results and either UTME or Direct Entry credentials."
How long does it take to complete Microbiology?,"The duration for Microbiology is typically 4 to 5 years, depending on the program."
Is Microbiology accredited by NUC?,"Yes, Microbiology is fully accredited by the National Universities Commission."
Does NEU accept direct entry into Microbiology?,"Yes, you can apply for Microbiology through Direct Entry depending on your qualifications."
What is the tuition fee per session for Building?,"The tuition fee for Building is ₦915,000.00 per session."
What is the tuition fee per semester for Building?,"The tuition fee for Building is ₦457,500.00 per semester."
Can I apply to study Building at NEU?,"Yes, Building is one of the accredited programs offered at North-Eastern University, Gombe."
Is Building offered in the school?,"Yes, we offer Building at NEU."
What are the requirements to apply for Building?,"To apply for Building, you need relevant O'level results and either UTME or Direct Entry credentials."
How long does it take to complete Building?,"The duration for Building is typically 4 to 5 years, depending on the program."
Is Building accredited by NUC?,"Yes, Building is fully accredited by the National Universities Commission."
Does NEU accept direct entry into Building?,"Yes, you can apply for Building through Direct Entry depending on your qualifications."
What is the tuition fee per session for Quantity Surveying?,"The tuition fee for Quantity Surveying is ₦915,000.00 per session."
What is the tuition fee per semester for Quantity Surveying?,"The tuition fee for Quantity Surveying is ₦457,500.00 per semester."
Can I apply to study Quantity Surveying at NEU?,"Yes, Quantity Surveying is one of the accredited programs offered at North-Eastern University, Gombe."
Is Quantity Surveying offered in the school?,"Yes, we offer Quantity Surveying at NEU."
What are the requirements to apply for Quantity Surveying?,"To apply for Quantity Surveying, you need relevant O'level results and either UTME or Direct Entry credentials."
How long does it take to complete Quantity Surveying?,"The duration for Quantity Surveying is typically 4 to 5 years, depending on the program."
Is Quantity Surveying accredited by NUC?,"Yes, Quantity Surveying is fully accredited by the National Universities Commission."
Does NEU accept direct entry into Quantity Surveying?,"Yes, you can apply for Quantity Surveying through Direct Entry depending on your qualifications."
What is the tuition fee per session for Environmental Management and Toxicology?,"The tuition fee for Environmental Management and Toxicology is ₦915,000.00 per session."
What is the tuition fee per semester for Environmental Management and Toxicology?,"The tuition fee for Environmental Management and Toxicology is ₦457,500.00 per semester."
Can I apply to study Environmental Management and Toxicology at NEU?,"Yes, Environmental Management and Toxicology is one of the accredited programs offered at North-Eastern University, Gombe."
Is Environmental Management and Toxicology offered in the school?,"Yes, we offer Environmental Management and Toxicology at NEU."
What are the requirements to apply for Environmental Management and Toxicology?,"To apply for Environmental Management and Toxicology, you need relevant O'level results and either UTME or Direct Entry credentials."
How long does it take to complete Environmental Management and Toxicology?,"The duration for Environmental Management and Toxicology is typically 4 to 5 years, depending on the program."
Is Environmental Management and Toxicology accredited by NUC?,"Yes, Environmental Management and Toxicology is fully accredited by the National Universities Commission."
Does NEU accept direct entry into Environmental Management and Toxicology?,"Yes, you can apply for Environmental Management and Toxicology through Direct Entry depending on your qualifications."
What is the tuition fee per session for Industrial Chemistry?,"The tuition fee for Industrial Chemistry is ₦915,000.00 per session."
What is the tuition fee per semester for Industrial Chemistry?,"The tuition fee for Industrial Chemistry is ₦457,500.00 per semester."
Can I apply to study Industrial Chemistry at NEU?,"Yes, Industrial Chemistry is one of the accredited programs offered at North-Eastern University, Gombe."
Is Industrial Chemistry offered in the school?,"Yes, we offer Industrial Chemistry at NEU."
What are the requirements to apply for Industrial Chemistry?,"To apply for Industrial Chemistry, you need relevant O'level results and either UTME or Direct Entry credentials."
How long does it take to complete Industrial Chemistry?,"The duration for Industrial Chemistry is typically 4 to 5 years, depending on the program."
Is Industrial Chemistry accredited by NUC?,"Yes, Industrial Chemistry is fully accredited by the National Universities Commission."
Does NEU accept direct entry into Industrial Chemistry?,"Yes, you can apply for Industrial Chemistry through Direct Entry depending on your qualifications."
What is the tuition fee per session for Petroleum Chemistry?,"The tuition fee for Petroleum Chemistry is ₦915,000.00 per session."
What is the tuition fee per semester for Petroleum Chemistry?,"The tuition fee for Petroleum Chemistry is ₦457,500.00 per semester."
Can I apply to study Petroleum Chemistry at NEU?,"Yes, Petroleum Chemistry is one of the accredited programs offered at North-Eastern University, Gombe."
Is Petroleum Chemistry offered in the school?,"Yes, we offer Petroleum Chemistry at NEU."
What are the requirements to apply for Petroleum Chemistry?,"To apply for Petroleum Chemistry, you need relevant O'level results and either UTME or Direct Entry credentials."
How long does it take to complete Petroleum Chemistry?,"The duration for Petroleum Chemistry is typically 4 to 5 years, depending on the program."
Is Petroleum Chemistry accredited by NUC?,"Yes, Petroleum Chemistry is fully accredited by the National Universities Commission."
Does NEU accept direct entry into Petroleum Chemistry?,"Yes, you can apply for Petroleum Chemistry through Direct Entry depending on your qualifications."
What is the tuition fee per session for Computer Science?,"The tuition fee for Computer Science is ₦915,000.00 per session."
What is the tuition fee per semester for Computer Science?,"The tuition fee for Computer Science is ₦457,500.00 per semester."
Can I apply to study Computer Science at NEU?,"Yes, Computer Science is one of the accredited programs offered at North-Eastern University, Gombe."
Is Computer Science offered in the school?,"Yes, we offer Computer Science at NEU."
What are the requirements to apply for Computer Science?,"To apply for Computer Science, you need relevant O'level results and either UTME or Direct Entry credentials."
How long does it take to complete Computer Science?,"The duration for Computer Science is typically 4 to 5 years, depending on the program."
Is Computer Science accredited by NUC?,"Yes, Computer Science is fully accredited by the National Universities Commission."
Does NEU accept direct entry into Computer Science?,"Yes, you can apply for Computer Science through Direct Entry depending on your qualifications."
What is the tuition fee per session for Cyber Security?,"The tuition fee for Cyber Security is ₦915,000.00 per session."
What is the tuition fee per semester for Cyber Security?,"The tuition fee for Cyber Security is ₦457,500.00 per semester."
Can I apply to study Cyber Security at NEU?,"Yes, Cyber Security is one of the accredited programs offered at North-Eastern University, Gombe."
Is Cyber Security offered in the school?,"Yes, we offer Cyber Security at NEU."
What are the requirements to apply for Cyber Security?,"To apply for Cyber Security, you need relevant O'level results and either UTME or Direct Entry credentials."
How long does it take to complete Cyber Security?,"The duration for Cyber Security is typically 4 to 5 years, depending on the program."
Is Cyber Security accredited by NUC?,"Yes, Cyber Security is fully accredited by the National Universities Commission."
Does NEU accept direct entry into Cyber Security?,"Yes, you can apply for Cyber Security through Direct Entry depending on your qualifications."
What is the tuition fee per session for Data Science?,"The tuition fee for Data Science is ₦915,000.00 per session."
What is the tuition fee per semester for Data Science?,"The tuition fee for Data Science is ₦457,500.00 per semester."
Can I apply to study Data Science at NEU?,"Yes, Data Science is one of the accredited programs offered at North-Eastern University, Gombe."
Is Data Science offered in the school?,"Yes, we offer Data Science at NEU."
What are the requirements to apply for Data Science?,"To apply for Data Science, you need relevant O'level results and either UTME or Direct Entry credentials."
How long does it take to complete Data Science?,"The duration for Data Science is typically 4 to 5 years, depending on the program."
Is Data Science accredited by NUC?,"Yes, Data Science is fully accredited by the National Universities Commission."
Does NEU accept direct entry into Data Science?,"Yes, you can apply for Data Science through Direct Entry depending on your qualifications."
What is the tuition fee per session for Information Technology?,"The tuition fee for Information Technology is ₦915,000.00 per session."
What is the tuition fee per semester for Information Technology?,"The tuition fee for Information Technology is ₦457,500.00 per semester."
Can I apply to study Information Technology at NEU?,"Yes, Information Technology is one of the accredited programs offered at North-Eastern University, Gombe."
Is Information Technology offered in the school?,"Yes, we offer Information Technology at NEU."
What are the requirements to apply for Information Technology?,"To apply for Information Technology, you need relevant O'level results and either UTME or Direct Entry credentials."
How long does it take to complete Information Technology?,"The duration for Information Technology is typically 4 to 5 years, depending on the program."
Is Information Technology accredited by NUC?,"Yes, Information Technology is fully accredited by the National Universities Commission."
Does NEU accept direct entry into Information Technology?,"Yes, you can apply for Information Technology through Direct Entry depending on your qualifications."
What is the tuition fee per session for Software Engineering?,"The tuition fee for Software Engineering is ₦915,000.00 per session."
What is the tuition fee per semester for Software Engineering?,"The tuition fee for Software Engineering is ₦457,500.00 per semester."
Can I apply to study Software Engineering at NEU?,"Yes, Software Engineering is one of the accredited programs offered at North-Eastern University, Gombe."
Is Software Engineering offered in the school?,"Yes, we offer Software Engineering at NEU."
What are the requirements to apply for Software Engineering?,"To apply for Software Engineering, you need relevant O'level results and either UTME or Direct Entry credentials."
How long does it take to complete Software Engineering?,"The duration for Software Engineering is typically 4 to 5 years, depending on the program."
Is Software Engineering accredited by NUC?,"Yes, Software Engineering is fully accredited by the National Universities Commission."
Does NEU accept direct entry into Software Engineering?,"Yes, you can apply for Software Engineering through Direct Entry depending on your qualifications."
What is the tuition fee per session for Urban and Regional Planning?,"The tuition fee for Urban and Regional Planning is ₦915,000.00 per session."
What is the tuition fee per semester for Urban and Regional Planning?,"The tuition fee for Urban and Regional Planning is ₦457,500.00 per semester."
Can I apply to study Urban and Regional Planning at NEU?,"Yes, Urban and Regional Planning is one of the accredited programs offered at North-Eastern University, Gombe."
Is Urban and Regional Planning offered in the school?,"Yes, we offer Urban and Regional Planning at NEU."
What are the requirements to apply for Urban and Regional Planning?,"To apply for Urban and Regional Planning, you need relevant O'level results and either UTME or Direct Entry credentials."
How long does it take to complete Urban and Regional Planning?,"The duration for Urban and Regional Planning is typically 4 to 5 years, depending on the program."
Is Urban and Regional Planning accredited by NUC?,"Yes, Urban and Regional Planning is fully accredited by the National Universities Commission."
Does NEU accept direct entry into Urban and Regional Planning?,"Yes, you can apply for Urban and Regional Planning through Direct Entry depending on your qualifications."
What is the tuition fee per session for Common and Islamic Law?,"The tuition fee for Common and Islamic Law is ₦1,090,000.00 per session."
What is the tuition fee per semester for Common and Islamic Law?,"The tuition fee for Common and Islamic Law is ₦545,000.00 per semester."
Can I apply to study Common and Islamic Law at NEU?,"Yes, Common and Islamic Law is one of the accredited programs offered at North-Eastern University, Gombe."
Is Common and Islamic Law offered in the school?,"Yes, we offer Common and Islamic Law at NEU."
What are the requirements to apply for Common and Islamic Law?,"To apply for Common and Islamic Law, you need relevant O'level results and either UTME or Direct Entry credentials."
How long does it take to complete Common and Islamic Law?,"The duration for Common and Islamic Law is typically 4 to 5 years, depending on the program."
Is Common and Islamic Law accredited by NUC?,"Yes, Common and Islamic Law is fully accredited by the National Universities Commission."
Does NEU accept direct entry into Common and Islamic Law?,"Yes, you can apply for Common and Islamic Law through Direct Entry depending on your qualifications."
What is the tuition fee per session for Common Law?,"The tuition fee for Common Law is ₦1,090,000.00 per session."
What is the tuition fee per semester for Common Law?,"The tuition fee for Common Law is ₦545,000.00 per semester."
Can I apply to study Common Law at NEU?,"Yes, Common Law is one of the accredited programs offered at North-Eastern University, Gombe."
Is Common Law offered in the school?,"Yes, we offer Common Law at NEU."
What are the requirements to apply for Common Law?,"To apply for Common Law, you need relevant O'level results and either UTME or Direct Entry credentials."
How long does it take to complete Common Law?,"The duration for Common Law is typically 4 to 5 years, depending on the program."
Is Common Law accredited by NUC?,"Yes, Common Law is fully accredited by the National Universities Commission."
Does NEU accept direct entry into Common Law?,"Yes, you can apply for Common Law through Direct Entry depending on your qualifications."
How do I apply for admission at NEU?,"You can apply through our online portal at www.pru.edu.ng or visit our campus along Bauchi Road, Lafiyawo, Gombe."
Is admission still open for this year?,"Yes, admission for the 2024/2025 academic session is currently open."
Can I transfer into 200 or 300 level?,"Yes, transfer into 200 or 300 level is possible depending on your transcripts and the faculty."
Do you offer accommodation?,"Yes, hostel facilities are available for students. Accommodation fees vary depending on the room type."
What is the total cost including school fees and hostel?,"The total cost varies by program and room type, but starts around ₦1,200,000 per session including accommodation."
What are the documents required for admission?,"You’ll need your O'level results, JAMB or Direct Entry slip, birth certificate, and a recent passport photo."
How can I reach out for help?,"You can contact us at admissions@neu.edu.ng or call 07061482777, 09110935240, or 08036902809."
Where is the university located?,"North-Eastern University is located along Bauchi Road, Lafiyawo, Gombe, Gombe State."
